RegionId,Volume,Surface Area,Aspect Ratio,Min Point,Max Point
0,63.435893637492256,102.79991811570959,2.1983486765460154,"[12.600199699401855, 10.29580020904541, 41.81930160522461]","[20.959199905395508, 14.098199844360352, 47.221099853515625]"
1,53.23980271792919,110.09559395964597,0.9722800033067892,"[15.908599853515625, 11.664299964904785, 47.03329849243164]","[20.899799346923828, 16.797800064086914, 54.057098388671875]"
2,63.38646763952198,97.47122166486555,2.154192870541885,"[33.0098991394043, 4.204909801483154, 37.550498962402344]","[42.099300384521484, 8.424309730529785, 42.523101806640625]"
3,52.69428078229889,100.64961332054332,0.501749875102148,"[38.50019836425781, 3.9940099716186523, 42.32749938964844]","[41.799800872802734, 10.570199966430664, 50.10860061645508]"
4,39.92571799735015,97.21499964262443,0.35059136323379575,"[19.40019989013672, 10.565099716186523, 57.61029815673828]","[21.999799728393555, 17.979999542236328, 62.29100036621094]"
5,66.5320217997926,88.29993918666672,1.6410987786744498,"[52.10020065307617, 17.650100708007812, 45.34830093383789]","[58.899600982666016, 21.79330062866211, 49.60860061645508]"
6,57.98992308334015,81.06172445078758,2.0418184308593434,"[2.1002700328826904, 5.506010055541992, 50.1525993347168]","[9.499799728393555, 9.130000114440918, 54.04970169067383]"
7,62.03268346861556,85.67018409772461,1.488035499662122,"[0.06297209858894348, 11.841099739074707, 39.28340148925781]","[6.3987298011779785, 16.098899841308594, 43.74039840698242]"
8,34.90315516719323,74.1435196974306,1.8600940616991806,"[30.20439910888672, 3.244270086288452, 40.77069854736328]","[37.78379821777344, 7.319009780883789, 44.72639846801758]"
9,20.763068300932378,90.23448840864143,0.3675212442219968,"[21.90679931640625, 18.207799911499023, 57.84379959106445]","[25.59980010986328, 28.256200790405273, 63.452701568603516]"
10,37.99414649263288,78.41274316990547,0.41787250789612884,"[13.700200080871582, 3.4783198833465576, 42.997798919677734]","[16.199800491333008, 9.460049629211426, 50.17179870605469]"
11,28.36835760894589,70.80142871141787,1.044517777442024,"[29.100500106811523, 7.227839946746826, 49.683101654052734]","[34.272701263427734, 12.17959976196289, 57.339298248291016]"
12,44.27489372949521,78.30496398615925,1.0079162809978257,"[10.400199890136719, 6.582360219908878e-05, 32.5171012878418]","[13.699799537658691, 3.273750066757202, 39.85580062866211]"
13,35.23141865665407,61.33302874563496,2.517952551889892,"[9.401869773864746, 10.820300102233887, 52.50529861450195]","[16.699399948120117, 13.718500137329102, 55.61859893798828]"
14,26.76593006659376,68.11283959545266,0.5276652876454996,"[0.0005279980250634253, 10.871299743652344, 52.105499267578125]","[2.6998000144958496, 15.986800193786621, 58.23609924316406]"
15,369.2842381379883,70.86146738014115,0.5829335272478399,"[56.500301361083984, 22.130300521850586, 45.36690139770508]","[59.09960174560547, 26.58930015563965, 51.36429977416992]"
16,14.500179035718986,58.67441539628523,1.9568330395794213,"[52.90019989013672, 28.74449920654297, 21.606599807739258]","[59.05189895629883, 31.888200759887695, 25.284799575805664]"
17,35.88948722822329,61.75588208069216,0.8880417761333759,"[44.10020065307617, 16.16160011291504, 54.83259963989258]","[47.49980163574219, 19.98979949951172, 60.001800537109375]"
18,24.526418417592737,59.28645063001731,2.5730636278945926,"[28.300199508666992, 8.442720413208008, 34.76850128173828]","[36.299800872802734, 11.5516996383667, 38.26169967651367]"
19,32.930044791416414,58.65966674693546,1.3450180795500202,"[23.100200653076172, 8.9481201171875, 47.99829864501953]","[27.799800872802734, 12.44219970703125, 52.2484016418457]"
20,26.343237631566666,57.91038864172025,0.8857674572785561,"[50.800201416015625, 18.040700912475586, 52.3114013671875]","[54.99980163574219, 22.78190040588379, 56.53689956665039]"
21,25.118214268045584,53.18167656628341,1.428374821774551,"[0.9014930129051208, 8.529540061950684, 42.049598693847656]","[6.699779987335205, 12.588899612426758, 45.53160095214844]"
22,19.981180148087255,54.3848979658524,1.1811465698476051,"[11.500200271606445, 7.941150188446045, 55.61980056762695]","[15.999600410461426, 11.750499725341797, 60.606300354003906]"
23,36.63118836886663,57.32636373298197,1.2758755729016285,"[24.300199508666992, 12.696100234985352, 57.18370056152344]","[28.699800491333008, 16.144399642944336, 60.86899948120117]"
24,32.41969468452387,54.75015770048983,1.1650304405074168,"[47.60020065307617, 10.270899772644043, 48.054500579833984]","[52.19309997558594, 14.213199615478516, 51.629398345947266]"
25,32.9193605589667,55.136924498044394,1.4424009671663534,"[53.70090103149414, 6.002089977264404, 38.71369934082031]","[58.59980010986328, 9.39844036102295, 42.434200286865234]"
26,28.506742805977694,54.19867215919874,0.8236519850854466,"[19.90019989013672, 8.053979873657227, 54.24700164794922]","[22.799800872802734, 11.574399948120117, 59.794700622558594]"
27,24.674058119368052,51.75283342904189,2.3611768178763834,"[14.802399635314941, 28.385099411010742, 37.159698486328125]","[20.59980010986328, 30.84040069580078, 40.662498474121094]"
28,22.968847520814755,50.001645008059214,2.935058476903039,"[33.50299835205078, 6.378280162811279, 25.125699996948242]","[40.39830017089844, 8.727569580078125, 29.016599655151367]"
29,23.934411396294355,51.49179124136127,0.5793071736975371,"[14.816900253295898, 12.381699562072754, 58.063201904296875]","[18.399799346923828, 18.566499710083008, 61.9630012512207]"
30,27.718230207265528,51.92289139058469,0.7068642363668077,"[31.800199508666992, 18.895700454711914, 58.01639938354492]","[34.89979934692383, 23.28070068359375, 62.34920120239258]"
31,26.99336156037276,48.90477743469859,2.263207601927737,"[0.02822040021419525, 13.218799591064453, 44.6338005065918]","[5.9987897872924805, 15.856900215148926, 48.13330078125]"
32,18.860859514045053,44.29850297862039,1.1590060775560695,"[18.100200653076172, 10.492199897766113, 37.681400299072266]","[21.799400329589844, 13.683899879455566, 41.82120132446289]"
33,15.587871379903362,40.8297965778058,1.3376603301682175,"[4.100200176239014, 9.664409637451172, 53.56679916381836]","[7.764440059661865, 12.40369987487793, 58.72330093383789]"
34,15.367157227571862,40.712822630114346,2.2958023434965225,"[7.100240230560303, 10.706299781799316, 41.04359817504883]","[13.274800300598145, 13.39579963684082, 44.660400390625]"
35,13.392801819299997,38.126617255389505,2.4557141113597143,"[20.27589988708496, 0.40667399764060974, 37.89659881591797]","[27.094499588012695, 3.183300018310547, 40.22169876098633]"
36,16.95682411907834,37.80015196511797,1.4763424608210247,"[7.00068998336792, 7.800809860229492, 56.48939895629883]","[10.699799537658691, 10.306400299072266, 60.337799072265625]"
37,20.515693045859454,39.436670057841454,1.1620581371354695,"[49.00019836425781, 11.27180004119873, 53.83420181274414]","[52.39979934692383, 14.19729995727539, 57.095401763916016]"
38,17.92183184523575,36.42858366527033,1.1067888604187972,"[2.6295199394226074, 10.869999885559082, 59.05540084838867]","[6.19980001449585, 14.095800399780273, 62.339698791503906]"
39,12.801198934615073,37.28269873791882,0.3939753866903565,"[26.200199127197266, 11.158900260925293, 41.489898681640625]","[27.999799728393555, 15.726699829101562, 44.90919876098633]"
40,15.569724051980176,34.77010583153757,2.5564743932218694,"[9.71483039855957, 12.222700119018555, 56.90760040283203]","[15.75220012664795, 14.58430004119873, 59.34109878540039]"
41,17.68005402370986,39.457117007681745,1.2390668074187692,"[7.009439945220947, 0.0001092449965653941, 34.600799560546875]","[10.399800300598145, 2.736330032348633, 39.029701232910156]"
42,16.37367927687515,36.59625789870818,0.8067735259493731,"[51.00019836425781, 6.455170154571533, 35.424800872802734]","[53.59980010986328, 9.677390098571777, 38.999900817871094]"
43,15.751753018571316,33.93672912744425,1.3438136528311893,"[35.049800872802734, 9.482789993286133, 48.261199951171875]","[39.09980010986328, 12.496600151062012, 51.01679992675781]"
44,17.0352189371488,35.38037283814477,1.2607988774568515,"[19.800199508666992, 25.609699249267578, 34.60649871826172]","[23.299800872802734, 28.385400772094727, 37.4296989440918]"
45,11.783744954011036,36.279547894499935,0.4507291977928561,"[13.700200080871582, 7.629759788513184, 49.65019989013672]","[15.499799728393555, 11.622400283813477, 53.26430130004883]"
46,17.84157698300553,38.85228683980239,0.6363624237918489,"[7.80019998550415, 9.54767019720748e-05, 47.90700149536133]","[9.799799919128418, 3.1423299312591553, 51.834999084472656]"
47,13.45051761442227,33.41422198426902,0.8376771765958253,"[48.60020065307617, 19.913299560546875, 56.84389877319336]","[52.05830001831055, 24.041500091552734, 59.39469909667969]"
48,11.159022773367477,31.25991234209975,1.3130869801216734,"[11.522500038146973, 2.2326900959014893, 39.83769989013672]","[15.299699783325195, 5.109270095825195, 42.56050109863281]"
49,17.663594841868488,35.97869707515698,0.7517025924217244,"[7.200200080871582, 2.4505999088287354, 26.406700134277344]","[9.599800109863281, 5.642819881439209, 30.03219985961914]"
50,11.399819025869581,31.55115336072299,1.4938649203758811,"[9.911279678344727, 9.535650253295898, 47.83649826049805]","[13.199799537658691, 11.737000465393066, 51.950599670410156]"
51,13.596937026404536,31.479036716111235,2.5497859804087484,"[25.248199462890625, 2.9902799129486084, 34.781700134277344]","[30.697500228881836, 5.127439975738525, 37.22850036621094]"
52,16.297899569828296,35.55784398274096,0.5913614584973942,"[43.200199127197266, 4.2642598152160645, 35.052398681640625]","[45.09980010986328, 7.476510047912598, 39.02069854736328]"
53,17.758995403473847,37.03012394723965,0.7459193197338214,"[2.8001999855041504, 0.00033272101427428424, 47.86669921875]","[5.099800109863281, 3.083240032196045, 51.78770065307617]"
54,14.022014410587758,31.220380800616716,2.0706098742060717,"[26.00029945373535, 2.84771990776062, 46.23099899291992]","[30.498699188232422, 5.020219802856445, 48.70119857788086]"
55,12.113526936650082,29.02386499629729,2.4487726311216726,"[25.922800064086914, 4.303299903869629, 38.13570022583008]","[31.089000701904297, 6.413010120391846, 40.557701110839844]"
56,19.963978785345773,37.41049742236342,0.6326854211461215,"[19.000200271606445, 0.0005454400088638067, 34.50299835205078]","[20.799800872802734, 2.8449299335479736, 39.31460189819336]"
57,15.106868082486312,32.71959106032844,0.6046382866565199,"[39.200199127197266, 26.765600204467773, 37.116600036621094]","[41.199798583984375, 30.07270050048828, 40.545501708984375]"
58,13.458781742276052,30.289636073195854,0.8257344137752471,"[0.30019599199295044, 8.12246036529541, 58.0547981262207]","[2.9949300289154053, 11.385899543762207, 61.342498779296875]"
59,11.805177617131534,28.888230332101912,1.2197817027187934,"[25.800199508666992, 12.17549991607666, 19.18670082092285]","[29.170700073242188, 14.938699722290039, 22.560199737548828]"
60,12.952300762743343,32.52353799084466,0.335048773850422,"[17.000200271606445, 22.672100067138672, 55.94620132446289]","[18.399799346923828, 26.84939956665039, 59.590599060058594]"
61,7.954855038604149,28.271553898595666,0.4890542917393698,"[16.700300216674805, 24.994800567626953, 33.27199935913086]","[18.299800872802734, 28.265399932861328, 36.581600189208984]"
62,8.924139184902513,27.663585958660757,0.9776016735327707,"[0.9001960158348083, 8.818550109863281, 44.652099609375]","[3.5916800498962402, 11.571700096130371, 47.85390090942383]"
63,12.100676831219895,27.745505541292463,1.7429349509686385,"[22.40089988708496, 10.917200088500977, 42.50170135498047]","[26.199800491333008, 13.096799850463867, 44.87779998779297]"
64,9.913901821209237,26.085423554077735,1.6773023460870418,"[29.925399780273438, 12.08180046081543, 59.6515007019043]","[34.199501037597656, 14.630000114440918, 61.70589828491211]"
65,10.207789407824013,25.58402832626167,2.392195535058114,"[20.012800216674805, 4.66379976272583, 44.78810119628906]","[24.68939971923828, 6.618740081787109, 47.013999938964844]"
66,7.45844054442165,23.53069109078645,1.316116202933202,"[48.10200119018555, 26.493600845336914, 21.773500442504883]","[51.957298278808594, 29.42289924621582, 23.663000106811523]"
67,10.832306983863312,26.352774411014423,2.0375830056150437,"[52.800201416015625, 16.384599685668945, 23.66230010986328]","[56.89350128173828, 18.39349937438965, 25.920400619506836]"
68,10.12534831353507,26.549438320365603,0.644010525323711,"[18.500200271606445, 5.986569881439209, 46.72019958496094]","[20.399799346923828, 8.936209678649902, 50.31880187988281]"
69,10.33018619339932,25.625071830371294,0.7511380503442787,"[34.30459976196289, 7.001440048217773, 42.790401458740234]","[36.699798583984375, 10.190199851989746, 45.80350112915039]"
70,7.734123964276786,23.672195106204814,0.7665716336761971,"[34.40019989013672, 25.597900390625, 20.483699798583984]","[36.89929962158203, 28.857999801635742, 23.456199645996094]"
71,8.223141843846665,23.96715701705787,0.8488598755371036,"[32.50019836425781, 15.51200008392334, 59.64609909057617]","[35.28310012817383, 18.7903995513916, 62.337100982666016]"
